newindex,BaseDateTime,coordinate,envelope
0,2017-01-24T15:12:39,POINT (-79.96306089485499 25.95716228633267),"POLYGON ((-79.98306089485499 25.93716228633267, -79.94306089485499 25.93716228633267, -79.94306089485499 25.97716228633267, -79.98306089485499 25.97716228633267, -79.98306089485499 25.93716228633267))"
1,2017-01-24T15:11:17,POINT (-80.13777711483885 25.69958150968701),"POLYGON ((-80.15777711483885 25.67958150968702, -80.11777711483886 25.67958150968702, -80.11777711483886 25.71958150968701, -80.15777711483885 25.71958150968701, -80.15777711483885 25.67958150968702))"
2,2017-01-24T15:11:29,POINT (-80.00431839136461 25.95282096076495),"POLYGON ((-80.0243183913646 25.93282096076495, -79.98431839136461 25.93282096076495, -79.98431839136461 25.97282096076495, -80.0243183913646 25.97282096076495, -80.0243183913646 25.93282096076495))"
3,2017-01-24T15:11:29,POINT (-80.08197273807843 26.03648543466907),"POLYGON ((-80.10197273807843 26.01648543466908, -80.06197273807844 26.01648543466908, -80.06197273807844 26.05648543466907, -80.10197273807843 26.05648543466907, -80.10197273807843 26.01648543466908))"
4,2017-01-24T15:12:12,POINT (-80.02602954859496 26.1708076982523),"POLYGON ((-80.04602954859496 26.1508076982523, -80.00602954859497 26.1508076982523, -80.00602954859497 26.1908076982523, -80.04602954859496 26.1908076982523, -80.04602954859496 26.1508076982523))"
5,2017-01-24T15:11:03,POINT (-80.01666590235448 26.15126582809553),"POLYGON ((-80.03666590235447 26.13126582809553, -79.99666590235448 26.13126582809553, -79.99666590235448 26.17126582809552, -80.03666590235447 26.17126582809552, -80.03666590235447 26.13126582809553))"
6,2017-01-24T15:11:56,POINT (-80.00819396054389 26.14434652256861),"POLYGON ((-80.02819396054389 26.12434652256861, -79.9881939605439 26.12434652256861, -79.9881939605439 26.16434652256861, -80.02819396054389 26.16434652256861, -80.02819396054389 26.12434652256861))"
7,2017-01-24T15:12:35,POINT (-80.0555842064872 26.03644190494474),"POLYGON ((-80.07558420648719 26.01644190494475, -80.0355842064872 26.01644190494475, -80.0355842064872 26.05644190494474, -80.07558420648719 26.05644190494474, -80.07558420648719 26.01644190494475))"
8,2017-01-31T15:11:26,POINT (-80.03951492160486 26.03634870943732),"POLYGON ((-80.05951492160486 26.01634870943732, -80.01951492160487 26.01634870943732, -80.01951492160487 26.05634870943732, -80.05951492160486 26.05634870943732, -80.05951492160486 26.01634870943732))"
9,2017-01-31T15:11:27,POINT (-80.04517940241648 25.7865458497021),"POLYGON ((-80.06517940241648 25.7665458497021, -80.02517940241648 25.7665458497021, -80.02517940241648 25.8065458497021, -80.06517940241648 25.8065458497021, -80.06517940241648 25.7665458497021))"
