newindex,BaseDateTime,COG,CallSign,Cargo,Draft,Heading,IMO,LAT,LON,Length,MMSI,SOG,Status,VesselName,VesselType,Width,coordinate,datetime,envelope
0,2017-01-24T15:12:39,176.9,KCHV,80.0,12.2,179.0,IMO9353591,26.00165,-79.9946,183.2,366539000.0,5.7,under way using engine,OVERSEAS ANACORTES,1024.0,32.2,POINT (-79.99460000000001 26.00165),2017-01-24 15:12:39,"POLYGON ((-80.0146 25.98165, -79.97460000000001 25.98165, -79.97460000000001 26.02165, -80.0146 26.02165, -80.0146 25.98165))"
1,2017-01-24T15:11:17,74.0,9HA3697,,3.9,69.0,IMO9571143,25.75847000000001,-80.10582,72.0,229894000.0,7.1,moored,AXIOMA,1019.0,11.8,POINT (-80.10581999999999 25.75847000000001),2017-01-24 15:11:17,"POLYGON ((-80.12581999999999 25.73847000000001, -80.08582 25.73847000000001, -80.08582 25.77847000000001, -80.12581999999999 25.77847000000001, -80.12581999999999 25.73847000000001))"
2,2017-01-24T15:11:29,175.3,KCHV,80.0,12.2,178.0,IMO9353591,26.00354,-79.99469,183.2,366539000.0,5.7,under way using engine,OVERSEAS ANACORTES,1024.0,32.2,POINT (-79.99469000000001 26.00354),2017-01-24 15:11:29,"POLYGON ((-80.01469 25.98354, -79.97469000000001 25.98354, -79.97469000000001 26.02354, -80.01469 26.02354, -80.01469 25.98354))"
3,2017-01-24T15:11:29,89.5,WDA5463,0.0,0.0,511.0,,26.09297,-80.08075,0.0,495270931.0,19.8,undefined,PILOTN0;4,0.0,0.0,POINT (-80.08074999999999 26.09297),2017-01-24 15:11:29,"POLYGON ((-80.10074999999999 26.07297, -80.06075 26.07297, -80.06075 26.11297, -80.10074999999999 26.11297, -80.10074999999999 26.07297))"
4,2017-01-24T15:12:12,-185.0,WDF2460,57.0,,339.0,IMO9575876,26.12215,-80.07311999999997,37.95,367428330.0,0.2,at anchor,LAURIE ANN REINAUER,1025.0,11.55,POINT (-80.07311999999997 26.12215),2017-01-24 15:12:12,"POLYGON ((-80.09311999999997 26.10215, -80.05311999999998 26.10215, -80.05311999999998 26.14215, -80.09311999999997 26.14215, -80.09311999999997 26.10215))"
5,2017-01-24T15:11:03,90.0,V2GT5,70.0,9.5,318.0,IMO9395068,26.111620000000002,-80.07219,166.15,304083000.0,0.5,at anchor,AS FEDERICA,1004.0,25.0,POINT (-80.07219000000001 26.11162),2017-01-24 15:11:03,"POLYGON ((-80.09219 26.09162, -80.05219000000001 26.09162, -80.05219000000001 26.13162, -80.09219 26.13162, -80.09219 26.09162))"
6,2017-01-24T15:12:28,65.0,9HA3697,,3.9,61.0,IMO9571143,25.75931,-80.10347,72.0,229894000.0,6.8,moored,AXIOMA,1019.0,11.8,POINT (-80.10347 25.75931),2017-01-24 15:12:28,"POLYGON ((-80.12347 25.73931, -80.08347000000001 25.73931, -80.08347000000001 25.77931, -80.12347 25.77931, -80.12347 25.73931))"
7,2017-01-24T15:11:56,-204.7,WADZ,31.0,5.8,214.0,IMO9271119,26.09575,-80.03289000000002,38.7,369702000.0,8.6,under way using engine,COASTAL RELIANCE,1025.0,12.8,POINT (-80.03289000000002 26.09575),2017-01-24 15:11:56,"POLYGON ((-80.05289000000002 26.07575, -80.01289000000003 26.07575, -80.01289000000003 26.11575, -80.05289000000002 26.11575, -80.05289000000002 26.07575))"
8,2017-01-24T15:12:35,90.1,WDA5463,0.0,0.0,511.0,,26.09242,-80.07412,0.0,495270931.0,19.8,undefined,PILOTN0;4,0.0,0.0,POINT (-80.07411999999999 26.09242),2017-01-24 15:12:35,"POLYGON ((-80.09411999999999 26.07242, -80.05412 26.07242, -80.05412 26.11242, -80.09411999999999 26.11242, -80.09411999999999 26.07242))"
9,2017-01-30T21:44:10,184.8,WDH9252,,,511.0,IMO8939063,26.552640000000004,-80.00632,23.81,366973830.0,5.6,,TAMARA ALANE,1001.0,7.32,POINT (-80.00632 26.55264),2017-01-30 21:44:10,"POLYGON ((-80.02632 26.53264, -79.98632000000001 26.53264, -79.98632000000001 26.57264, -80.02632 26.57264, -80.02632 26.53264))"
